一[一]	 	說文: 惟初太始道立於一造分天地化成萬物凡一之屬皆從一Etym: Primitive pictograph 一. From a single line. Meaning one.
芝[芝]	 	說文: 神艸也從艸從之Etym: From grass 艹艸 and phonetic 之㞢𡳿. Meaning sessemy.Phon: 之 zhi1 zhi4 
芟[芟]	 	說文: 刈艸也從艸從殳
芥[芥]	 	說文: 菜也從艸介聲Etym: From grass 艹艸 and phonetic 介. Meaning mustard.Phon: 介 jie4 
芦[蘆]	 	說文: 蘆菔也一曰薺根從艸盧聲Etym: Deletion remnant 芦(t蘆). From grass 艹艸 and phonetic 户盧. Meaning rushes.Phon: 盧 lu2 虍 hu3 hu1 Simplify: (艹) above (super cursive simplification 户盧)
芬[芬]	 	說文: 㞣或從艸Etym: From grass 艹艸 and phonetic 分. Meaning fragrent.Phon: 分 fen1 fen4 ban4 
芭[芭]	 	Etym: From grass 艹艸 and phonetic 巴. Meaning plantain.Phon: 巴 ba1 
芯[芯]	 	Etym: From grass 艹艸 and phonetic 心. Meaning pith from a rush. (心 also means heart or middle)
花[花]	 	Etym: From grass 艹艸 and phonetic 化. Meaning flower.Phon: 化 hua4 匕 bi3 pin4 hua4 
芳[芳]	 	說文: 香艸也從艸方聲Etym: From grass 艹艸 and phonetic 方. Meaning fragrent.Phon: 方 fang1 fang3 pang2 
芹[芹]	 	說文: 楚葵也從艸斤聲Etym: From grass 艹艸 and phonetic 斤. Meaning celery.Phon: 斤 jin1 
芽[芽]	 	說文: 萌芽也從艸牙聲Etym: From grass 艹艸 and phonetic 牙. Meaning sprout.Phon: 牙 ya ya1 ya2 
苇[葦]	 	說文: 大葭也從艸韋聲Etym: From grass 艹艸 and phonetic 韦. Meaning reed.Phon: 韋 wei2 hui2 Simplify: (艹) above (s韦韋)
苍[蒼]	 	說文: 艸色也從艸倉聲Etym: From grass 艹艸 and phonetic 仓倉. Meaning green.Phon: 倉 cang1 Simplify: (艹) above (s仓倉)
苏[蘇]	 	說文: 桂荏也從艸穌聲Phon: 蘇 su1 穌 su1  (productive phonetic)Simplify: (艹) above (21苏)(super cursive simplification 办劦稣)蘇)
苑[苑]	 	說文: 所以養禽獸也從艸夗聲Phon: 夗 yuan4 wan3 wan1 yuan1 
苓[苓]	 	說文: 苓耳卷耳艸也從艸令聲Phon: 令 ling4 
苔[苔]	 	Etym: From grass 艹艸 and phonetic 台. Meaning moss.Phon: 台 tai2 yi2 厶 yi3 si1 gong1 
苗[苗]	 	說文: 艸生於田者從艸從田Etym: From grass 艹艸 and field 田. Meaning sprouts.Phon: 苗 miao2  (productive phonetic)
苛[苛]	 	說文: 小艸也從艸可聲Etym: From grass 艹艸 and phonetic 可. Original meaning pith ball like seed.Phon: 可 ke3 ke4 
苞[苞]	 	說文: 艸也南陽以為麤履從艸包聲Etym: From grass 艹艸 and phonetic 包. Meaning a rush.Phon: 包 bao1 勹 bao1 
苟[苟]	 	說文: 自急敕也從羊省從包省從口口猶慎言也從羊羊與義善美同意凡茍之屬皆從茍Phon: 勾句 gou1 ju4 gou3 gou4 qu2 丩jiu1 
苣[苣]	 	說文: 束葦燒也從艸巨聲臣鉉等曰今俗別作炬非是Phon: 巨 ju4 
若[若]	 	說文: 擇菜也從艸右右手也一曰杜若香艸Etym: Cursive remnant 若. From remnant hair 艹 (not grass) and hands * primping the hair, 口 added later. Original meaning to primp.*Phon: 若 ruo4 re4 re2  (productive phonetic)
苦[苦]	 	說文: 大苦苓也從艸古聲Etym: From grass 艹艸 and phonetic 古. Meaning bitter, as in bitter plants.Phon: 古 gu3 gu4 ku1 
苫[苫]	 	Etym: From grass 艹艸 and phonetic 占. Meaning straw matting.
英[英]	 	說文: 艸榮而不實者一曰黃英從艸央聲Etym: From grass 艹艸 and phonetic 央. Original meaning, a kind of flower.Phon: 英 ying1 央 yang1  (productive phonetic)
茁[茁]	 	說文: 艸初生艸地貌從艸出聲詩曰彼茁者葭Etym: From grass 艹艸 and to go forward 出. Meaning sprouting.Phon: 出 chu1 
茂[茂]	 	說文: 艸豐盛貌從艸戊聲Etym: From grass 艹艸 and phonetic 戊. Meaning lush, as in many plants.Phon: 戊 wu4 
范[范]	 	說文: 艸也從艸氾聲Phon: 氾 fan4 ㄢ han4 
茄[茄]	 	說文: 芙蕖莖從艸加聲Etym: From grass 艹艸 and phonetic 加. Meaning eggplant.Phon: 加 jia1 jia4 jia3 
茅[茅]	 	說文: 菅也從艸矛聲Etym: From grass 艹艸 and phonetic 矛. Meaning reeds.Phon: 矛 mao2 
茉[茉]	 	Etym: From grass 艹艸 and phonetic 末. Meaning white jasine. (末 is also related to plants)Phon: 末 mo4 
[茍]	 	說文: 自急敕也從羊省從包省從口口猶慎言也從羊羊與義善美同意凡茍之屬皆從茍Etym: From grass 艹艸* and phonetic 句. Originally a type of plant.Phon: 勾句 gou1 ju4 gou3 gou4 qu2 丩jiu1 
茎[莖]	 	說文: 枝柱也從艸巠聲Etym: From grass 艹艸 and phonetic 𢀖巠. Meaning stem.Phon: 坙巠 jing1 Simplify: (艹) above (sC12𢀖巠)
茗[茗]	 	說文: 荼芽也從艸名聲Phon: 名 ming2 
茜[茜]	 	說文: 以艸補缺從艸**聲讀若陸或以為綴一曰約空也
茫[茫]	 	Etym: From grass 艹艸 and phonetic 汒. Meaning vast like the grass lands.Phon: 汒 mang2 亡 wang2 wang4 meng2 
茬[茬]	 	Etym: From grass 艹艸 and phonetic 在. Meaning to harvest.
茱[茱]	 	說文: 茱萸茮屬從艸朱聲Phon: 朱 zhu1 shu1 
茴[茴]	 	Etym: From grass 艹艸 and phonetic 回. Meaning fennel.Phon: 回囘 hui2 
茵[茵]	 	說文: 車重席也從艸因聲Etym: From grass 艹艸 and phonetic 因. Meaning stuffing, as in straw stuffing)Phon: 因 yin1 
茶[茶]	 	Etym: From grass 艹艸 and 余 [ From inverted mouth 亼 above and plant 𣏟屮].  Meaning tea.Phon: 茶 cha2 余 yu2 tu2 xu2 yu4  (productive phonetic)
茸[茸]	 	說文: 艸茸茸貌從艸聦省聲Etym: From grass 艹艸 and phonetic 耳. Meaning the bud of a pant. (耳 ear, also resembles the but of the plant)
茹[茹]	 	說文: 飤馬也從艸如聲Phon: 如 ru2 女 nu3 nu4 ru3 
[茻]	 	說文: 眾艸也從四屮凡茻之屬皆從茻讀與冈同
荀[荀]	 	說文: 艸也從艸旬聲臣鉉等案今人姓荀氏本郇俟之後宜用郇字Phon: 旬 xun2 
[荅]	 	說文: 小尗也從艸合聲Etym: From grass 艹艸 and phonetic 合. Meaning bean.Phon: 荅 da2 ta4  (productive phonetic)
荆[荊]	 	說文: 楚木也從艸刑聲Etym: From grass 艹艸 and phonetic 刑. Meaning thorns. (刑 is also related to knife and punishment)Phon: 刑 xing2 井 jing3 
草[草]	 	說文: 草斗櫟實也一曰象斗子從艸早聲臣鉉等曰今俗以此為艸木之艸別作皁字為黑色之皁案櫟實可以染帛為黑色故曰草通用為草棧字今俗書皁或從白從十或從白從七皆無意義無以下筆Etym: From grass 艹艸 and phonetic 早. Meaning grass.Phon: 草 cao3 早 zao3  (productive phonetic)
荏[荏]	 	說文: 桂荏蘇也從艸任聲Phon: 任 ren2 ren4 壬 ren2 
荐[荐]	 	說文: 薦蓆也從艸存聲Phon: 存 cun2 
荒[荒]	 	說文: 蕪也從艸巟聲一曰艸淹地也Etym: From grass 艹艸 and phonetic 巟. Meaning wasteland. (巟 also means a wasteland )Phon: 荒 huang1 巟 huang1 亡兦 wang2 wang4 meng2 
荔[荔]	 	說文: 艸也似蒲而小根可作刷從艸劦聲Etym: From grass 艹艸 and phonetic 劦 [ From three phonetic 力. Meaning strength]. Meaning lichee.Phon: *劦 xie2
荚[莢]	 	說文: 艸實從艸夾聲Etym: From grass 艹艸 and phonetic 夹夾. Meaning pods of leguminous plants. (夹 is also related to holding two things together)Phon: 夾 jia2 jia4 xie2 xia2 Simplify: (艹) above (s夹夾)
荞[蕎]	 	Etym: From grass 艹艸 and phonetic 乔. Meaning buckwheat.Simplify: (艹) left of (s乔喬)
荡[蕩]	 	說文: 水出河內蕩陰東入黃澤從水**聲Etym: From grass 艹艸 and phonetic (also meanning soup) 汤漡. Meaning pondPhon: 湯 tang1 昜 yang2 Simplify: (艹) above (氵) left of (C04𠃓昜)
荣[榮]	 	說文: 桐木也從木熒省聲一曰屋梠之兩頭起者為榮Etym: From tree 木 and reduced phonetic (also meaning bright) *. Meaning glory.Phon: 榮 rong2  ying2  (productive phonetic)Simplify: (s艹冖) above (木)
荤[葷]	 	說文: 臭菜也從艸軍聲Etym: From grass 艹艸 and phonetic 军軍. Meaning garlic.Phon: 軍 jun1 Simplify: (s车車)
荦[犖]	 	說文: 駁牛也從牛勞省聲Phon: 勞 lao2 Simplify: (s艹冖z) above (牛)
荧[熒]	 	說文: 屋下鐙燭之光從焱冂Etym: From fire 火 and remnant 冖. Meaning campfires.Phon: 熒 ying2 xing2 jiong3 Simplify: (s艹冖) above (火)
荪[蓀]	 	說文: 香艸也從艸孫聲Phon: 孫 sun1 Simplify: (艹) above (s孙孫)
荫[蔭]	 	說文: 艸陰地從艸陰聲Phon: 陰 yin1 yin4 侌 yin1 今 jin1 Simplify: (艹) above (s阴陰)
药[藥]	 	說文: 治病艸從艸樂聲Etym: From grass 艹艸 and phonetic 约樂. Meaning medicine, as in from plants.Phon: 樂 le4 yao4 luo4 Simplify: (艹) above (phonetic-phonetic substitution 约樂)
荷[荷]	 	說文: 芙蕖葉從艸何聲Etym: From grass 艹艸 and phonetic 何. Meaning lotus.Phon: 何 he2 可 ke3 ke4 
荸[荸]	 	Etym: From grass 艹艸 and phonetic 孛. Meaning water chestnut.Phon: 孛 bo2 bei4 巿 fei4 fu2 po2 
荼[荼]	 	說文: 苦荼也從艸余聲臣鉉等曰此即今之茶字Phon: 余 yu2 tu2 xu2 yu4 
莉[莉]	 	Etym: From grass 艹艸 and phonetic 利. Meaning white jasine.Phon: 利 li4 
庄[莊]	 	說文: 上諱臣鉉等曰此漢明帝名也從艸從壯未詳Phon: 壯 zhuang4 zhuang1 爿qiang2 Simplify: (character substitution 庄莊)*
莎[莎]	 	說文: 鎬侯也從艸沙聲Phon: 沙 sha1 少 shao3 shao4 小 xiao3 
莒[莒]	 	說文: 齊謂芋為莒從艸呂聲Phon: 呂吕 lü3 
莞[莞]	 	說文: 艸也可以作席從艸完聲Phon: 完 wan2 yuan4 元 yuan2 wan2 
莠[莠]	 	說文: 禾粟下生莠也從艸秀聲讀若酉Phon: 秀 xiu4 
[莤]	 	說文: 禮祭束茅加于祼圭而灌鬯酒是為莤象神歆之也一曰莤榼上塞也從酉從艸春秋傳曰爾貢包茅不入王祭不供無以莤酒
莫[莫]	 	說文: 日且冥也從日在茻中茻亦聲Etym: From grass 艹艸 and sun, or mouth 日口 and more grass 大艸. Originally meaning "not" or "dusk" probably from the sun lost in the grass.Phon: 莫 mo4 mu4  (productive phonetic)
莱[萊]	 	說文: 蔓華也從艸來聲Etym: From grass 艹艸 and phonetic 来. Meaning goosfoot weed.Phon: 來 lai2 Simplify: (艹) above (s来來)
莲[蓮]	 	說文: 芙蕖之實也從艸連聲Etym: From grass 艹艸 and phonetic 连. Meaning lotus.Phon: 連 lian2 Simplify: (艹) above (辶)ell(s车車)
获[獲]	 	說文: 獵所獲也從犬蒦聲Phon: 蒦 huo4 Simplify: (unk21獲获)
莹[瑩]	 	說文: 玉色從玉熒省聲一曰石之次玉者逸論語曰如玉之瑩Etym: From jade 玉 and phonetic (also meaning fire) remnant *熒. Meaning luster of gems.Phon: 熒 ying2 xing2 jiong3 Simplify: (s艹冖) above (玉)
莺[鶯]	 	說文: 鳥也從鳥榮省聲詩曰有鶯其羽Etym: From bird 鸟鳥 and phonetic *. Meaning an oriole.Phon: 熒 ying2 xing2 jiong3 Simplify: (艹) above (冖)abv(s鸟鳥)
莽[莽]	 	說文: 南昌謂犬善逐兔艸中為莽從犬從茻茻亦聲Etym: From grass 茻 top grass 艹艸 and bottom remnant grass 廾艸 and dog 犬. Meaning a thicketPhon: 莽 mang3  (productive phonetic)
菁[菁]	 	說文: 韭華也從艸青聲Phon: 青靑 qing1 井 jing3 
菅[菅]	 	說文: 茅也從艸官聲Phon: 官 guan1 
菇[菇]	 	Etym: From grass 艹艸 and phonetic 姑. Meaning mushrooms.Phon: 姑 gu1 古 gu3 gu4 ku1 
菊[菊]	 	說文: 大菊蘧麥從艸匊聲Etym: From grass 艹艸 and phonetic 匊. Meaning chrysanthemum.Phon: 匊 ju1 
菌[菌]	 	說文: 地蕈也從艸囷聲Etym: From grass 艹艸 and phonetic (meaning a store house for grain) 囷. Meaning mushroom. Mold, germ.Phon: 菌 jun2 囷 qun1  (productive phonetic)
[菐]	 	說文: 瀆菐也從丵從廾廾亦聲凡菐之屬皆從菐臣鉉等曰瀆讀為煩瀆之瀆一本注云丵眾多也兩手奉之是煩瀆也Phon: 菐 pu2  (productive phonetic)
菜[菜]	 	說文: 艸之可食者從艸采聲Etym: From grass 艹艸 and phonetic 采. Meaning vegetables. (采 is also means a hand picing a plant)Phon: 采 cai3 cai4 
菠[菠]	 	Etym: From grass 艹艸 and phonetic 波. Meaning spinach.Phon: 波 bo1 皮 pi2 bo1 
菩[菩]	 	說文: 艸也從艸咅聲Etym: From grass 艹艸 and phonetic 咅. Meaning herb.Phon: 咅否 pou3 fou3 pi3 不 bu4 
菱[菱]	 	Etym: From grass 艹艸 and phonetic 夌. Meaning water-chestnut.Phon: 夌 ling2 
菲[菲]	 	說文: 芴也從艸非聲Etym: From grass 艹艸 and phonetic 非. Meaning fragrent.Phon: 非 fei1 fei3 
菸[菸]	 	說文: 鬱也從艸於聲一曰D84E DE19也Phon: 於 yu2 wu1 
萁[萁]	 	說文: 豆莖也從艸其聲Phon: 其 qi2 
萃[萃]	 	說文: 艸貌從艸卒聲讀若瘁Phon: 卒 zu2 cui4 
萄[萄]	 	說文: 艸也從匋聲Etym: From grass 艹艸 and phonetic 匋. Meaning grapes.Phon: 匋 tao2 yao2 
[萈]	 	說文: 山羊細角者從兔足苜聲凡莧之屬皆從莧讀若丸寬字從此臣鉉等曰苜徒結切非聲疑象形Phon: 萈 huan2  (productive phonetic)
萋[萋]	 	說文: 艸盛從艸妻聲詩曰菶菶萋萋Phon: 妻 qi1 qi4 
萌[萌]	 	說文: 艸芽也從艸明聲Etym: From grass 艹艸 and phonetic 明. Meaning sprout.Phon: 明 ming2 
萍[萍]	 	說文: 苹也水艸也從水苹苹亦聲Etym: From water 氵水 and phonetic (also meaning duckweed) 苹. Meaning duckweed.Phon: 泙 ping2 平 ping2 
萎[萎]	 	說文: 食牛也從艸委聲Etym: From grass 艹艸 and phonetic 委. Meaning wilt.Phon: 委 wei3 
萝[蘿]	 	說文: 莪也從艸羅聲Etym: From grass 艹艸 and phonetic 罗羅. Meaning turnip.Phon: 羅 luo2 Simplify: (艹) above (s罗羅)
萤[螢]	 	Etym: From insect 虫 and phonetic (also meaning fire) remnant *熒. Meaning glow worm.Phon: 熒 ying2 xing2 jiong3 Simplify: (s艹冖) above (虫)
营[營]	 	說文: 市居也從宮熒省聲Etym: Super cursive remnant 营營. From buildings 吕呂宮 and remnant phonetic (also meaning camp fires) *熒. Meaning encampment.Phon: 熒 ying2 xing2 jiong3 Simplify: (s艹冖) above (吕)
萧[蕭]	 	說文: 艾蒿也從艸肅聲Etym: From grass 艹艸 and phonetic 肃肅. Meaning common artemisia.Phon: 蕭 xiao1 肅 su4  (productive phonetic)Simplify: (艹) left of (s肃肅)
萨[薩]	 	Etym: From grass 艹艸 阝+ (产產). Unknown logic. Meaning Buddah.Phon: 艹+産) chan3 產 chan3  (productive phonetic)Simplify: (艹) above (阝) left of (s产產)
万[萬]	 	說文: 蟲也從厹象形Etym: Primitive pictograph 万萬. A scorpion later meaning 10,000.Phon: 萬万 wan4  (productive phonetic)Simplify: (super cursive simplification 万萬)
萱[萱]	 	說文: 或從宣Phon: 宣 xuan1 亘 xuan1 
萸[萸]	 	說文: 茱萸也從艸臾聲Phon: 臾 yu2 
落[落]	 	說文: 凡艸曰零木曰落從艸洛聲Etym: From grass 艹艸 and phonetic 洛. Meaning fall, as in falling pettles from a flower.Phon: 洛 luo4 各 ge4 ge3 
葛[葛]	 	說文: 絺綌艸也從艸曷聲Etym: From grass 艹艸 and phonetic 曷. Meaning edible bean.Phon: 曷 he2 e4 he4 匃丐 gai4 
葡[葡]	 	Etym: From grass 艹艸 and phonetic 匍. Meaning grapes.Phon: 匍 pu2 甫 fu3 pu3 父 fu3 fu4 
[葢]	 	說文: 苫也從艸盍聲
董[董]	 	Etym: Remnant 董(蕫) From grass 艹艸 and phonetic 重童. Original meaning an herb name. Meaning to direct.Phon: 董 dong3 重 chong2 zhong4 tong2 dong4  (productive phonetic)
葩[葩]	 	說文: 華也從艸皅聲Phon: 皅 pa1 巴 ba1 
葫[葫]	 	Etym: From grass 艹艸 and phonetic 胡. Meaning bottle gourd.Phon: 胡 hu2 古 gu3 gu4 ku1 
葬[葬]	 	說文: 藏也從死在茻中一其中所以薦之易曰古之葬者厚衣之以薪Etym: Primitive pictograph 葬. Plant, grass 艹艸 and dead body 死. Meaning to bury.Phon: 葬 zang4  (productive phonetic)
葱[蔥]	 	說文: 菜也從艸悤聲Etym: From grass 艹艸 and phonetic *悤[From heart 心 and phonetic 匆囪]. Meaning scallionsPhon: 悤怱 cong1 囱匆 chuang1 cong1 
葵[葵]	 	說文: 菜也從艸癸聲Etym: From grass 艹艸 and phonetic 癸. Meaning sunflower.Phon: 癸 gui3 
蒂[蒂]	 	Etym: From grass 艹艸 and phonetic 帝. Meaning the stem of a plant.Phon: 帝 di4 
蒋[蔣]	 	說文: 苽蔣也從艸將聲Etym: From grass 艹艸 and phonetic 将將. Meaning hydropyrum latifolium.Phon: 將 jiang1 jiang4 爿 qiang2 Simplify: (艹) above (s将將)
[蒐]	 	說文: 茅蒐茹藘人血所生可以染絳從艸從鬼
蒙[蒙]	 	說文: 王女也從艸冡聲Phon: 蒙 meng2 冡 meng2  (productive phonetic)
蒜[蒜]	 	說文: 葷菜從從艸祘聲Etym: From grass 艹艸 and phonetic *. Meaning garlic.Phon: 祘 suan4 
蒲[蒲]	 	說文: 水艸也可以作席從艸浦聲Etym: From grass 艹艸 and phonetic 浦. Meaning vine.Phon: 浦 pu3 甫 fu3 pu3 父 fu3 fu4 
蒸[蒸]	 	說文: 折麻中榦也從艸烝聲Etym: From plant (which are cooked) 艹艸 and phonetic (also means to cook by steaming) 烝 (from phonetic 丞 and fire 灬火). Meaning to steam.Phon: 烝 zheng1 丞 cheng2 zheng1 zheng3 
[蒻]	 	說文: 蒲子可以為平席太平御覽有世謂蒲蒻從艸弱聲Phon: 弱 ruo4 
蒿[蒿]	 	說文: 菣也從艸高聲Etym: From grass 艹艸 and phonetic 高. Meaning artemisia.Phon: 高 gao1 
蓄[蓄]	 	說文: 積也從艸畜聲Etym: From grass 艹艸 and phonetic 畜. Meaning store, which is what you want to do with edible plants.Phon: 畜 xu4 chu4 
[蓆]	 	說文: 廣多也從艸席聲Phon: 席 xi2 
蓉[蓉]	 	說文: 芙蓉也從艸容聲Etym: From grass 艹艸 and phonetic 容. Meaning hibiscus.Phon: 容 rong2 
蓖[蓖]	 	Etym: From grass 艹艸 and phonetic 毘. Meaning castor oil plant.
蓝[藍]	 	說文: 染青艸也從艸監聲Etym: From grass 艹艸 and phonetic 监監. Meaning indigo the plant.Phon: 監 jian1 jian4 kan4 Simplify: (艹) above (s监監)
蓦[驀]	 	說文: 上馬也從馬莫聲Phon: 莫 mo4 mu4 Simplify: (s马馬) left of (莫)
蓬[蓬]	 	說文: 蒿也從艸逢聲Etym: From grass 艹艸 and phonetic 逢. Meaning raspberry.Phon: 逢 feng2 夆 feng1 丰 feng1 
[蓺]	 	說文: 種也從坴丮持而穜之書曰我埶黍稷徐锴曰坴土也Phon: 蓺 yi4 埶 yi4 shi4  (productive phonetic)
蔑[蔑]	 	說文: 勞目無精也從D854 DD15人勞則蔑然從戍Phon: 蔑 mie4 苜 mie4 mu4 目 mu4  (productive phonetic)
蔓[蔓]	 	說文: 葛屬也從艸曼聲Etym: From grass 艹艸 and phonetic 曼. Meaning vines.Phon: 曼 man4 
蔗[蔗]	 	說文: 藷蔗也從艸庶聲Etym: From grass 艹艸 and phonetic 庶. Meaning sugar cane.Phon: 庶 shu4 zhe1 
蔚[蔚]	 	說文: 牡蒿也從艸尉聲Etym: From grass 艹艸 and phonetic 尉. Meaning lusurient, as in many plants.Phon: 尉 wei4 yu4 yun4 reng2 
蔡[蔡]	 	說文: 艸也從艸祭聲Phon: 祭 ji4 zhai4 
蔫[蔫]	 	Etym: From grass 艹艸 and phonetic 焉. Meaning withered.
蔬[蔬]	 	說文: 菜也從艸疏聲Etym: From grass 艹艸 and phonetic 疏. Meaning greens.Phon: 疏 shu1 shu4 疋 shu1 pi3  
蔷[薔]	 	說文: 薔虞蓼從艸嗇聲Phon: 牆 qiang2 qiang2 Simplify: (艹) above (s啬嗇)
蔺[藺]	 	說文: 莞屬可為席從艸閵聲Etym: From grass 艹艸 and phonetic 閵. Meaning a kind of rush used for making mats.Phon: 藺 lin4 閵 lin4  (productive phonetic)Simplify: (s门門)cup(隹)
蔼[藹]	 	Etym: From grass 艹艸 and phonetic 谒謁. Meaning lush.Phon: 謁 ye4 ai3 曷 he2 e4 he4 匃丐 gai4 Simplify: (艹) above (s讠言) left of (曷)
蔽[蔽]	 	說文: 蔽蔽小艸也從艸敝聲Etym: From grass 艹艸 and phonetic 敝. Meaning to hide, as to hide in the grass.Phon: 敝 bi4 bie4 㡀 bi4 
蕃[蕃]	 	說文: 艸茂也從艸番聲Phon: 番 fan1 pan1 bo1 po2 
蕈[蕈]	 	說文: 桑䓴也從艸覃聲Phon: 覃 tan2 
蕉[蕉]	 	說文: 生枲也從艸焦聲Etym: From grass 艹艸 and phonetic 焦. Meaning banana.Phon: 焦 jiao1 qiao2 
蕊[蕊]	 	Etym: From grass 艹艸 and phonetic (also indicating hearts) 惢. Meaning flower buds.Phon: 惢 rui3 
蕨[蕨]	 	說文: 鼈也從艸厥聲Phon: 厥 jue2 欮 jue2 
蕴[蘊]	 	Etym: From grass 艹艸 and phonetic 缊縕. Meaning to collect, as in herbs.Phon: 縕緼 yun4 昷(囚+皿 ) wen1 yun4 
蕾[蕾]	 	Etym: From grass 艹艸 and phonetic 雷. Meaning buds.Phon: 雷 lei2 畾 lei2 reduced 
薄[薄]	 	說文: 林薄也一曰蠶薄從艸溥聲Etym: From grass 艹艸 and phonetic 溥. Meaning weak, probably a weak crop.Phon: 溥 pu3 尃 fu1 bu4 甫 fu3 pu3 父 fu3 fu4 
薇[薇]	 	說文: 菜也似藿從艸微聲Etym: From grass 艹艸 and phonetic 微. Meaning fern.Phon: 微 wei2 (微-彳) wei2 (微-彳-攵) wei2 
薛[薛]	 	說文: 艸也從艸辥聲Etym: From grass 艹艸 and phonetic 辥. Meaning marsh grass.Phon: 孼-辛-子 D847 DD0E) nie4  (productive phonetic)
薜[薜]	 	說文: 牡贊也從艸辟聲Phon: 薜 bo4 bi4 辟 bi4 pi4  (productive phonetic)
荐[薦]	 	Etym: From grass 艹艸 and phonetic 存薦. Perhaps man grass blades. Meaning repetitidion.Simplify: (艹) above (cognate-phonetic substitution 存薦-艹)
薪[薪]	 	說文: 蕘也從艸新聲Etym: From grass 艹艸 and phonetic 新. Meaning fuel. (新 is also related to wood)Phon: 新 xin1 亲 qin1 辛 xin1， 斤 jin1 
薮[藪]	 	說文: 大澤也從艸數聲九州之藪楊州具區荊州雲夢豫州甫田青州孟諸沇州大野雝州弦圃幽州奚養冀州楊紆并州昭餘祁是也Phon: 數 shu3 shu4 shuo4 Simplify: (艹) above (s娄婁) left of (攵)
薯[薯]	 	Etym: From grass 艹艸 and phonetic 署. Meaning yam.Phon: 署 shu4 shu3 者 zhe3 zhu1 zhu4 
薰[薰]	 	說文: 香艸也從艸熏聲Phon: 熏 xun1 
藉[藉]	 	說文: 祭藉也一曰艸不編狼藉從艸耤聲Phon: 耤 ji2 jie4 昔 xi2 cuo4 Simplify: ？(deletion 借藉)
藏[藏]	 	說文: 匿也臣鉉等案漢書通用臧字從艸後人所加Etym: From grass 艹艸 and phonetic 臧. Meaning to hide, as in the grass.Phon: 藏 cang2 zang4 臧 zang1 cang2 zang4 戕 qiang2 爿 qiang2  (productive phonetic)
藐[藐]	 	說文: 茈艸也從艸D85C DC80聲Etym: From grass 艹艸 and phonetic 貌. Meaning small.Phon: 貌 mao4 皃 mao4 
藕[藕]	 	Etym: From grass 艹艸 and phonetic 耦. Meaning lotus root.Phon: 耦 ou3 禺 yu4 yu2 ou3 
藤[藤]	 	Etym: From grass 艹艸 and phonetic 滕. Meaning rattan.Phon: 滕 teng2 朕 zhen4 
藩[藩]	 	說文: 屏也從艸潘聲Phon: 潘 pan1 番 fan1 pan1 bo1 po2 
藻[藻]	 	說文: 薻或從澡Etym: From grass 艹艸 and phonetic 澡. Meaning algae.Phon: 澡 zao3 喿 zao4 qiao1 
蘑[蘑]	 	Etym: From grass 艹艸 and phonetic 磨. Meaning mushroom.Phon: 磨 mo2 mo4 麻 ma2 
蘸[蘸]	 	說文: 以物沒水也此蓋俗語從艸未詳Etym: From grass 艹艸 (from a dye) and phonetic 醮. Meaning to dip.Phon: 醮 jiao4 qiao2 zhan4 焦 jiao1 qiao2 
虎[虎]	 	說文: 三獸之君從虍虎足象人足象形凡虎之屬皆從虎Etym: Primitive pictograph 虎. A tiger 虍 standing on its legs 几. Meaning tiger.Phon: 虎 hu3 虍 hu3 hu1  (productive phonetic)
虏[虜]	 	說文: 獲也從毌從力虍聲Etym: Deletion remnant 虏(t虜). From strength 力 and remnant man 田男 and phonetic (also meaning tiger) 虍. Meaning to capturePhon: 虜 lu3  (productive phonetic)Simplify: (deletion 虏(虜-田))
虐[虐]	 	說文: 殘也從虍虎足反爪人也Etym: From tiger 虍 with claws 又. Meaning crule.Phon: 虐 nue4  (productive phonetic)
虑[慮]	 	說文: 謀思也從思虍聲Etym: From heart 忄心 (traditional deleted think 思) and phonetic 虍. Meaning to be concerned.Phon: 慮 lü4  (productive phonetic)Simplify: (deletion 虑(慮-田))
[虒]	 	說文: 委虒虎之有角者也從虎聲Phon: 虒 si1 ti2  (productive phonetic)
虔[虔]	 	說文: 虎行皃從虍文聲讀若矜臣鉉等曰文非聲未詳
[虗]	 	說文: 大丘也崑崙丘謂之崑崙虛古者九夫為井四井為邑四邑為丘丘為之虛從丘虍聲臣鉉等曰今俗別作墟非是Phon: 虛虗 xu1 虍 hu3 hu1  (productive phonetic)
[虘]	 	說文: 虎不柔不信也從虍且聲讀若䣜縣Phon: *
虚[虛]	 	Etym: From small mountain remnant 业丘 and phonetic 虍. Meaning hill.Phon: 虛虗 xu1 虍 hu3 hu1  (productive phonetic)
虞[虞]	 	說文: 騶虞也白虎黑文尾長於身仁獸食自死之肉從虍吳聲詩曰于嗟乎騶虞Phon: 吳吴 wu2 
虫[虫]	 	說文: 一名蝮博三寸首大如擘指象其臥形物之微細或行或毛或蠃或介或鱗以虫為象凡虫之屬皆從虫Phon: 虫 hui3 chong2  (productive phonetic)
虱[虱]	 	說文: 齧人蟲從**卂聲Etym: Compound pictograph 虱. From insect 虫 and phonetic (also meaning wing) 卂. Meaning louse.
虹[虹]	 	說文: 螮蝀也狀似蟲從虫工聲明堂月令曰虹始見Etym: From insect 虫(associated with rain*) and phonetic 工. Meaning rainbowPhon: 工 gong1 
